type,num
Afro food,42875
Animal in nature,50755
Basketball,57745
Beverages,221
Classic dance,23244
Clothing and accessories,161153
Combat sports,218
Concerts & Festivals,1688
Cooking,104114
Countryside life,45
Creative,11629
Duet & React,170164
Group dance,25032
Hip Hop dance,100707
Hot takes,91
Instruments,23145
Narrative,15053
Pole dancing,46
Scenery,135320
Self help,396
Skates,1334
Skills,3819
Skills & Creative,135307
Snacks,516
Swimming,18381
Work & Business,11548
World food,132370
afrobeat dance,175901
anniversary,757
baby,114605
bad luck,1734
beauty,126909
bikes and boards,1334
billard,152
car,1837
celebration,757
charming,407
chef,34
city scenery,115444
clothing,2169
cool,76
couples,187
design,35556
drama,189708
family,579
fitness,107351
flaunt,8424
foolish,2225
foolish-Deprecated,14
football,113147
friendship,3370
hairstyle,47100
hand tutting,27035
handwork,35379
lip sync,171303
love,6482
magic,99040
makeup,84553
model,838
music choreography,3065
other dance,62514
others（fashion）,87318
others（life-style）,127679
others（sport）,43901
painting,73599
pet,88941
selfie,884
sexy,1983
sing,25302
skill and competition,137013
solo comedy,151649
spoof,22508
spoof-Deprecated,14
sweet,2048
twerk,4495
urban life,656
